key,doctype,approx_size,cosmos_name,cosmos_elapsed,cosmos_size,redis_name,redis_elapsed,redis_size
27601,zipcode,206,27601,0.006509065628051758,566,27601,0.00159454345703125,206
27602,zipcode,198,27602,0.006517171859741211,558,27602,0.0015883445739746094,198
27603,zipcode,206,27603,0.00672459602355957,566,27603,0.0020623207092285156,206
27604,zipcode,206,27604,0.006481170654296875,566,27604,0.002032756805419922,206
27605,zipcode,206,27605,0.006887674331665039,566,27605,0.0018656253814697266,206
27606,zipcode,206,27606,0.006619453430175781,566,27606,0.0022084712982177734,206
27607,zipcode,204,27607,0.006510019302368164,564,27607,0.001499176025390625,204
27608,zipcode,206,27608,0.007530927658081055,566,27608,0.001519918441772461,206
27609,zipcode,204,27609,0.006773471832275391,564,27609,0.0016074180603027344,204
27610,zipcode,206,27610,0.006426095962524414,566,27610,0.0015172958374023438,206
27611,zipcode,198,27611,0.006661176681518555,558,27611,0.0013318061828613281,198
27612,zipcode,206,27612,0.006469249725341797,566,27612,0.0014774799346923828,206
27613,zipcode,206,27613,0.006818532943725586,566,27613,0.0017817020416259766,206
27614,zipcode,204,27614,0.007256031036376953,564,27614,0.0017876625061035156,204
27615,zipcode,206,27615,0.006731748580932617,566,27615,0.0017080307006835938,206
27616,zipcode,206,27616,0.007032155990600586,566,27616,0.0018062591552734375,206
27617,zipcode,206,27617,0.0067746639251708984,566,27617,0.002439737319946289,206
27619,zipcode,198,27619,0.007212638854980469,558,27619,0.0020477771759033203,198
27620,zipcode,198,27620,0.007104158401489258,558,27620,0.0015499591827392578,198
27621,zipcode,198,27621,0.0066967010498046875,558,27621,0.0018169879913330078,198
27622,zipcode,198,27622,0.007111072540283203,558,27622,0.002359151840209961,198
27623,zipcode,206,27623,0.0069980621337890625,566,27623,0.0016369819641113281,206
27624,zipcode,198,27624,0.006961822509765625,558,27624,0.0017712116241455078,198
27625,zipcode,198,27625,0.0067331790924072266,558,27625,0.0018312931060791016,198
27626,zipcode,198,27626,0.006440639495849609,558,27626,0.0015637874603271484,198
27627,zipcode,198,27627,0.0068204402923583984,558,27627,0.0015239715576171875,198
27628,zipcode,198,27628,0.0070497989654541016,558,27628,0.0013306140899658203,198
27629,zipcode,198,27629,0.006741762161254883,558,27629,0.0014531612396240234,198
27634,zipcode,198,27634,0.006667137145996094,558,27634,0.0013706684112548828,198
27635,zipcode,198,27635,0.006711244583129883,558,27635,0.0014429092407226562,198
27636,zipcode,198,27636,0.007018089294433594,558,27636,0.0014553070068359375,198
27640,zipcode,198,27640,0.00735926628112793,558,27640,0.0014634132385253906,198
27650,zipcode,198,27650,0.006889820098876953,558,27650,0.0015420913696289062,198
27656,zipcode,198,27656,0.006796836853027344,558,27656,0.002428293228149414,198
27658,zipcode,198,27658,0.006671428680419922,558,27658,0.0017409324645996094,198
27661,zipcode,198,27661,0.006378173828125,558,27661,0.0021333694458007812,198
27668,zipcode,198,27668,0.0071713924407958984,558,27668,0.0016243457794189453,198
27675,zipcode,198,27675,0.00664210319519043,558,27675,0.0018398761749267578,198
27676,zipcode,204,27676,0.007582664489746094,564,27676,0.0014154911041259766,204
27690,zipcode,198,27690,0.007431745529174805,558,27690,0.0015482902526855469,198
27695,zipcode,206,27695,0.007237672805786133,566,27695,0.0015087127685546875,206
27697,zipcode,198,27697,0.006554603576660156,558,27697,0.0014789104461669922,198
27698,zipcode,198,27698,0.006615638732910156,558,27698,0.0017938613891601562,198
27699,zipcode,198,27699,0.0065555572509765625,558,27699,0.0017409324645996094,198
27701,zipcode,205,27701,0.007258176803588867,565,27701,0.002446413040161133,205
27702,zipcode,197,27702,0.007024288177490234,557,27702,0.0056383609771728516,197
27703,zipcode,205,27703,0.00700688362121582,565,27703,0.0014829635620117188,205
27704,zipcode,205,27704,0.00678253173828125,565,27704,0.0013384819030761719,205
27705,zipcode,205,27705,0.007007598876953125,565,27705,0.001333475112915039,205
27706,zipcode,203,27706,0.006930828094482422,563,27706,0.006824493408203125,203
27707,zipcode,205,27707,0.00664830207824707,565,27707,0.0016853809356689453,205
27708,zipcode,197,27708,0.0073468685150146484,557,27708,0.0016522407531738281,197
27709,zipcode,203,27709,0.006720542907714844,563,27709,0.005660057067871094,203
27710,zipcode,197,27710,0.006453990936279297,557,27710,0.0016942024230957031,197
27711,zipcode,197,27711,0.006801605224609375,557,27711,0.0016117095947265625,197
27712,zipcode,205,27712,0.006544589996337891,565,27712,0.001714468002319336,205
27713,zipcode,205,27713,0.0065042972564697266,565,27713,0.0016791820526123047,205
27715,zipcode,197,27715,0.0067403316497802734,557,27715,0.0017824172973632812,197
27717,zipcode,197,27717,0.007568836212158203,557,27717,0.0018391609191894531,197
27722,zipcode,197,27722,0.007013559341430664,557,27722,0.0019505023956298828,197
27801,zipcode,210,27801,0.006670236587524414,570,27801,0.0018298625946044922,210
27802,zipcode,202,27802,0.006731986999511719,562,27802,0.0019140243530273438,202
27803,zipcode,208,27803,0.00661158561706543,568,27803,0.0019338130950927734,208
27804,zipcode,210,27804,0.006777524948120117,570,27804,0.0015158653259277344,210
27805,zipcode,207,27805,0.0072727203369140625,567,27805,0.0018150806427001953,207
27806,zipcode,205,27806,0.0074291229248046875,565,27806,0.0018990039825439453,205
27807,zipcode,205,27807,0.006538867950439453,565,27807,0.001481771469116211,205
27808,zipcode,203,27808,0.006960868835449219,563,27808,0.0016736984252929688,203
27809,zipcode,209,27809,0.006383180618286133,569,27809,0.0019223690032958984,209
27810,zipcode,207,27810,0.006490945816040039,567,27810,0.0018053054809570312,207
27811,zipcode,201,27811,0.0067844390869140625,561,27811,0.002641439437866211,201
27812,zipcode,203,27812,0.006597280502319336,563,27812,0.0017294883728027344,203
27813,zipcode,210,27813,0.007160663604736328,570,27813,0.0016455650329589844,210
27814,zipcode,210,27814,0.006741046905517578,570,27814,0.0018625259399414062,210
27815,zipcode,208,27815,0.006854534149169922,568,27815,0.0017125606536865234,208
27816,zipcode,207,27816,0.007086753845214844,567,27816,0.0019965171813964844,207
27817,zipcode,210,27817,0.006940126419067383,570,27817,0.0016448497772216797,210
27818,zipcode,203,27818,0.006403684616088867,563,27818,0.0018405914306640625,203
27819,zipcode,206,27819,0.006709575653076172,566,27819,0.0018818378448486328,206
27820,zipcode,205,27820,0.006514072418212891,565,27820,0.001867532730102539,205
27821,zipcode,203,27821,0.006974220275878906,563,27821,0.0017383098602294922,203
27822,zipcode,207,27822,0.00723719596862793,567,27822,0.0020592212677001953,207
27823,zipcode,206,27823,0.007134914398193359,566,27823,0.0017323493957519531,206
27824,zipcode,208,27824,0.006714820861816406,568,27824,0.0018045902252197266,208
27825,zipcode,199,27825,0.006281137466430664,559,27825,0.0016047954559326172,199
27826,zipcode,208,27826,0.0072400569915771484,568,27826,0.0017087459564208984,208
